frame,time,backbone,pair_sidechains
328,32.8000,0.8612,0.5951
329,32.9000,0.8568,0.7167
330,33.0000,0.8565,0.7797
331,33.1000,0.8574,0.6153
332,33.2000,0.8529,0.5392
333,33.3000,0.8532,0.4973
334,33.4000,0.8498,0.5707
335,33.5000,0.8345,0.7693
336,33.6000,0.8377,0.6862
337,33.7000,0.8381,0.6604
338,33.8000,0.8395,0.5909
339,33.9000,0.8514,0.5188
340,34.0000,0.8512,0.5700
341,34.1000,0.8585,0.5674
342,34.2000,0.8609,0.7774
343,34.3000,0.8715,0.7650
344,34.4000,0.8761,0.7090
345,34.5000,0.8658,0.6965
346,34.6000,0.8566,0.5907
347,34.7000,0.8567,0.5182
348,34.8000,0.8577,0.5775
349,34.9000,0.8542,0.3821
350,35.0000,0.8591,0.4803
351,35.1000,0.8675,0.5486
352,35.2000,0.8698,0.3773
353,35.3000,0.8735,0.2866
354,35.4000,0.8709,0.3898
355,35.5000,0.8723,0.3807
356,35.6000,0.8737,0.3323
357,35.7000,0.8761,0.3892
358,35.8000,0.8794,0.5103
359,35.9000,0.8765,0.4893
360,36.0000,0.8831,0.6171
361,36.1000,0.8948,0.6921
362,36.2000,0.8950,0.6462
363,36.3000,0.9082,0.5860
364,36.4000,0.9018,0.7440
365,36.5000,0.8856,0.6930
366,36.6000,0.8890,0.6211
367,36.7000,0.8882,0.4687
368,36.8000,0.8825,0.5205
369,36.9000,0.8657,0.6127
370,37.0000,0.8574,0.5890
371,37.1000,0.8563,0.4591
372,37.2000,0.8566,0.3246
373,37.3000,0.8663,0.3204
374,37.4000,0.8694,0.3988
375,37.5000,0.8660,0.3573
376,37.6000,0.8627,0.3878
377,37.7000,0.8654,0.5797
378,37.8000,0.8697,0.5014
379,37.9000,0.8754,0.2718
380,38.0000,0.8727,0.3332
381,38.1000,0.8728,0.3288
382,38.2000,0.8833,0.2401
383,38.3000,0.8890,0.3690
384,38.4000,0.8929,0.6116
385,38.5000,0.8894,0.7178
386,38.6000,0.8851,0.7380
387,38.7000,0.8719,0.5327
388,38.8000,0.8583,0.5376
389,38.9000,0.8623,0.6187
390,39.0000,0.8691,0.6087
391,39.1000,0.8723,0.4572
392,39.2000,0.8679,0.4968
393,39.3000,0.8629,0.5928
394,39.4000,0.8566,0.6205
395,39.5000,0.8533,0.5627
396,39.6000,0.8644,0.4918
397,39.7000,0.8567,0.5900
398,39.8000,0.8513,0.5783
399,39.9000,0.8462,0.5197
400,40.0000,0.8590,0.4196
401,40.1000,0.8652,0.3736
402,40.2000,0.8696,0.4925
403,40.3000,0.8741,0.4564
404,40.4000,0.8786,0.3352
405,40.5000,0.8866,0.2724
406,40.6000,0.9066,0.3716
407,40.7000,0.9175,0.4506
408,40.8000,0.9245,0.4026
409,40.9000,0.9292,0.3578
410,41.0000,0.9347,0.4276
411,41.1000,0.9333,0.5896
412,41.2000,0.9285,0.4903
413,41.3000,0.9221,0.4720
414,41.4000,0.9101,0.4396
415,41.5000,0.8959,0.4249
416,41.6000,0.8855,0.3789
417,41.7000,0.8876,0.3141
418,41.8000,0.8716,0.2969
419,41.9000,0.8600,0.3077
420,42.0000,0.8492,0.2028
421,42.1000,0.8497,0.2383
422,42.2000,0.8541,0.2712
423,42.3000,0.8629,0.4924
424,42.4000,0.8626,0.6000
425,42.5000,0.8567,0.5191
426,42.6000,0.8679,0.6207
427,42.7000,0.8797,0.7086
428,42.8000,0.8883,0.7172
429,42.9000,0.8959,0.7350
430,43.0000,0.9023,0.6916
431,43.1000,0.8997,0.7502
432,43.2000,0.8984,0.7788
433,43.3000,0.8990,0.6895
434,43.4000,0.8878,0.5950
435,43.5000,0.8745,0.5417
436,43.6000,0.8643,0.5173
437,43.7000,0.8683,0.4419
438,43.8000,0.8850,0.5957
439,43.9000,0.8900,0.6022
440,44.0000,0.8887,0.3792
441,44.1000,0.8833,0.3197
442,44.2000,0.8759,0.4577
443,44.3000,0.8787,0.7032
444,44.4000,0.8796,0.7138
445,44.5000,0.8766,0.5363
446,44.6000,0.8791,0.5041
447,44.7000,0.8690,0.4768
448,44.8000,0.8657,0.4258
449,44.9000,0.8662,0.5044
450,45.0000,0.8568,0.5457
451,45.1000,0.8565,0.6373
452,45.2000,0.8606,0.6133
453,45.3000,0.8647,0.6471
454,45.4000,0.8645,0.6898
455,45.5000,0.8657,0.7466
456,45.6000,0.8710,0.6771
457,45.7000,0.8775,0.5994
458,45.8000,0.8889,0.5072
459,45.9000,0.8913,0.4398
460,46.0000,0.8960,0.3675
461,46.1000,0.8884,0.4781
462,46.2000,0.8761,0.6322
463,46.3000,0.8809,0.6592
464,46.4000,0.8753,0.6411
465,46.5000,0.8639,0.5651
466,46.6000,0.8705,0.4497
467,46.7000,0.8682,0.3706
468,46.8000,0.8648,0.4551
469,46.9000,0.8653,0.3791
470,47.0000,0.8639,0.3775
471,47.1000,0.8713,0.4616
472,47.2000,0.8766,0.6118
473,47.3000,0.8856,0.5396
474,47.4000,0.8907,0.4065
475,47.5000,0.8832,0.5552
476,47.6000,0.8817,0.5984
477,47.7000,0.8957,0.5840
478,47.8000,0.9069,0.5074
479,47.9000,0.9022,0.4978
480,48.0000,0.8935,0.5016
481,48.1000,0.8817,0.5711
482,48.2000,0.8786,0.4160
483,48.3000,0.8731,0.4248
484,48.4000,0.8585,0.4650
485,48.5000,0.8523,0.3465
486,48.6000,0.8577,0.4855
487,48.7000,0.8655,0.6338
488,48.8000,0.8710,0.7039
489,48.9000,0.8757,0.5153
490,49.0000,0.8798,0.3808
491,49.1000,0.8776,0.2881
492,49.2000,0.8552,0.2818
493,49.3000,0.8511,0.4199
494,49.4000,0.8469,0.3101
495,49.5000,0.8476,0.2408
496,49.6000,0.8515,0.4631
497,49.7000,0.8460,0.4997
498,49.8000,0.8492,0.5012
499,49.9000,0.8478,0.6499
500,50.0000,0.8569,0.6135
501,50.1000,0.8553,0.6240
502,50.2000,0.8654,0.5345
503,50.3000,0.8719,0.5527
504,50.4000,0.8717,0.5608
505,50.5000,0.8669,0.5715
506,50.6000,0.8757,0.5358
507,50.7000,0.8745,0.5794
508,50.8000,0.8808,0.4849
509,50.9000,0.8791,0.5061
510,51.0000,0.8743,0.4927
511,51.1000,0.8624,0.4353
512,51.2000,0.8562,0.4760
513,51.3000,0.8600,0.4796
514,51.4000,0.8719,0.4503
515,51.5000,0.8899,0.3889
516,51.6000,0.8961,0.4756
517,51.7000,0.8879,0.3435
518,51.8000,0.8860,0.3055
519,51.9000,0.8941,0.4882
520,52.0000,0.9016,0.4921
521,52.1000,0.9091,0.3981
522,52.2000,0.9165,0.4720
523,52.3000,0.9073,0.3632
524,52.4000,0.9043,0.3602
525,52.5000,0.8877,0.4138
526,52.6000,0.8721,0.4118
527,52.7000,0.8606,0.4121
528,52.8000,0.8551,0.4341
529,52.9000,0.8406,0.4010
530,53.0000,0.8576,0.3997
531,53.1000,0.8767,0.3818
532,53.2000,0.8767,0.3292
533,53.3000,0.8881,0.3391
534,53.4000,0.8924,0.4801
535,53.5000,0.9027,0.4195
536,53.6000,0.9083,0.4026
537,53.7000,0.9225,0.4935
538,53.8000,0.9235,0.7143
539,53.9000,0.9147,0.6955
540,54.0000,0.9076,0.7124
541,54.1000,0.9079,0.6093
542,54.2000,0.8948,0.6469
543,54.3000,0.8820,0.4759
544,54.4000,0.8702,0.3817
545,54.5000,0.8774,0.4365
546,54.6000,0.8868,0.5355
547,54.7000,0.8936,0.6830
548,54.8000,0.8876,0.5492
549,54.9000,0.8950,0.4860
550,55.0000,0.9024,0.5220
551,55.1000,0.8999,0.5425
552,55.2000,0.8977,0.3382
553,55.3000,0.9044,0.4278
554,55.4000,0.9049,0.4943
555,55.5000,0.9020,0.3835
556,55.6000,0.9021,0.2918
557,55.7000,0.9083,0.3470
558,55.8000,0.9180,0.3662
559,55.9000,0.9211,0.4106
560,56.0000,0.9208,0.4655
561,56.1000,0.9187,0.6706
562,56.2000,0.9268,0.6894
563,56.3000,0.9192,0.5224
564,56.4000,0.9087,0.5672
565,56.5000,0.8956,0.5899
566,56.6000,0.8927,0.6459
567,56.7000,0.8963,0.5115
568,56.8000,0.8978,0.5214
569,56.9000,0.9080,0.5538
570,57.0000,0.9086,0.6164
571,57.1000,0.9208,0.4928
572,57.2000,0.9273,0.5453
573,57.3000,0.9233,0.4218
574,57.4000,0.9239,0.4807
575,57.5000,0.9339,0.5906
576,57.6000,0.9378,0.5668
577,57.7000,0.9401,0.4513
578,57.8000,0.9385,0.5325
579,57.9000,0.9387,0.5419
580,58.0000,0.9455,0.4887
581,58.1000,0.9562,0.6158
582,58.2000,0.9528,0.7206
583,58.3000,0.9522,0.7335
584,58.4000,0.9540,0.6140
585,58.5000,0.9588,0.7845
586,58.6000,0.9487,0.6690
587,58.7000,0.9544,0.7410
588,58.8000,0.9515,0.7308
589,58.9000,0.9557,0.7272
590,59.0000,0.9620,0.5803
591,59.1000,0.9574,0.6229
592,59.2000,0.9561,0.9341
593,59.3000,0.9541,1.0733
594,59.4000,0.9502,0.8949
595,59.5000,0.9546,0.7287
596,59.6000,0.9546,0.6513
597,59.7000,0.9528,0.7065
598,59.8000,0.9444,0.6332
599,59.9000,0.9424,0.5802
600,60.0000,0.9444,0.4464
601,60.1000,0.9483,0.5002
602,60.2000,0.9523,0.5158
603,60.3000,0.9536,0.5634
604,60.4000,0.9606,0.7358
605,60.5000,0.9549,0.7516
606,60.6000,0.9516,0.9219
607,60.7000,0.9385,0.9426
608,60.8000,0.9316,0.6790
609,60.9000,0.9250,0.7959
