frame,time,a_Ow_H2_OD2,a_Ow_HH12_OD2
268,26.8000,165.5869,57.1094
269,26.9000,176.4345,52.1658
270,27.0000,161.5926,49.1939
271,27.1000,171.9177,60.9654
272,27.2000,153.8368,66.6401
273,27.3000,174.8683,49.8271
274,27.4000,143.5542,75.6545
275,27.5000,122.7499,72.8336
276,27.6000,173.3059,64.6912
277,27.7000,150.8429,47.7725
278,27.8000,155.2087,66.1443
279,27.9000,168.2647,56.1742
280,28.0000,166.4041,62.4011
281,28.1000,147.1670,60.9094
282,28.2000,175.1664,53.8229
283,28.3000,142.3992,79.2362
284,28.4000,157.6706,54.9068
285,28.5000,135.2376,62.1640
286,28.6000,174.4919,58.1299
287,28.7000,165.5441,50.9260
288,28.8000,159.9947,70.0093
289,28.9000,159.6403,58.1107
290,29.0000,155.9569,63.3537
291,29.1000,124.9046,75.2473
292,29.2000,152.6863,63.8303
293,29.3000,152.6197,58.8167
294,29.4000,158.2721,50.7852
295,29.5000,167.4624,57.9427
296,29.6000,160.1334,63.1820
297,29.7000,160.5904,73.3406
298,29.8000,141.4059,66.0958
299,29.9000,167.4421,73.7321
300,30.0000,156.0419,61.3648
301,30.1000,150.7832,47.7387
302,30.2000,152.4351,66.6328
303,30.3000,140.6563,78.3728
304,30.4000,164.9154,45.7951
305,30.5000,112.7359,91.9607
306,30.6000,73.2386,126.8629
307,30.7000,70.3135,149.6152
308,30.8000,61.0384,149.6770
309,30.9000,56.0544,166.8398
310,31.0000,123.3530,95.4684
311,31.1000,160.2009,67.0216
312,31.2000,174.6783,58.4861
313,31.3000,140.9873,69.4621
314,31.4000,164.8639,59.5218
315,31.5000,177.4553,60.4417
316,31.6000,148.3773,65.4399
317,31.7000,152.6017,51.8215
318,31.8000,134.9095,78.0212
319,31.9000,152.5052,55.9482
320,32.0000,127.9514,82.5390
321,32.1000,121.4773,100.0296
322,32.2000,137.3206,74.3604
323,32.3000,143.0797,69.3143
324,32.4000,163.8792,49.7491
325,32.5000,169.7120,59.5012
326,32.6000,171.7474,54.9836
327,32.7000,148.8706,65.0454
328,32.8000,138.8982,61.7846
329,32.9000,144.7090,71.3415
330,33.0000,176.5740,64.6180
331,33.1000,135.1661,79.3441
332,33.2000,155.4241,74.8783
333,33.3000,152.2225,73.0355
334,33.4000,72.4978,158.5866
335,33.5000,68.0322,156.5050
336,33.6000,94.9689,107.0831
337,33.7000,138.3244,81.1605
338,33.8000,163.3722,60.4930
339,33.9000,156.5100,58.6277
340,34.0000,153.5298,60.1234
341,34.1000,138.8234,81.7244
342,34.2000,119.4389,95.5388
343,34.3000,127.5955,82.0208
344,34.4000,150.0143,57.9689
345,34.5000,143.9030,73.4605
346,34.6000,157.9326,58.5104
347,34.7000,156.6568,56.8346
348,34.8000,163.3481,61.6642
349,34.9000,163.3971,63.7285
350,35.0000,133.9891,64.5055
351,35.1000,147.6370,60.9754
352,35.2000,154.6559,68.0963
353,35.3000,168.9791,58.7459
354,35.4000,167.1992,58.5831
355,35.5000,171.4677,58.0106
356,35.6000,160.0245,61.7029
357,35.7000,148.1075,57.3840
358,35.8000,154.8437,75.2326
359,35.9000,150.9566,46.2308
360,36.0000,158.8887,58.5083
361,36.1000,154.0881,62.2012
362,36.2000,125.8028,70.8365
363,36.3000,130.8481,72.0999
364,36.4000,165.9360,59.4550
365,36.5000,177.9805,54.0352
366,36.6000,157.2818,53.0362
367,36.7000,149.3079,70.0891
368,36.8000,164.3308,56.6455
369,36.9000,167.7474,52.0934
370,37.0000,167.3587,52.7384
371,37.1000,156.6746,61.0771
372,37.2000,153.2890,63.3067
373,37.3000,154.0799,47.7362
374,37.4000,143.6911,68.7791
375,37.5000,165.9533,53.7565
376,37.6000,133.0504,75.0913
377,37.7000,158.4222,62.1086
378,37.8000,164.6168,62.2884
379,37.9000,165.6735,56.4459
380,38.0000,151.4924,62.9877
381,38.1000,143.2784,53.7393
382,38.2000,157.4438,50.7494
383,38.3000,158.4661,49.1780
384,38.4000,158.9723,61.0997
385,38.5000,143.4985,70.7793
386,38.6000,165.7228,58.6557
387,38.7000,142.3774,65.7734
388,38.8000,162.0910,67.1129
389,38.9000,160.3190,58.5515
390,39.0000,154.5638,64.5193
391,39.1000,149.7448,58.0126
392,39.2000,142.7766,57.8185
393,39.3000,159.8254,66.1150
394,39.4000,150.3377,67.4589
395,39.5000,149.6073,74.4937
396,39.6000,157.4788,57.7527
397,39.7000,141.7342,79.8202
398,39.8000,148.2583,60.3823
399,39.9000,148.8476,76.7917
400,40.0000,147.5534,80.8037
401,40.1000,153.4361,67.4667
402,40.2000,164.1325,58.9820
403,40.3000,151.1418,65.3379
404,40.4000,162.4837,58.2409
405,40.5000,142.7005,55.4831
406,40.6000,151.2713,55.3363
407,40.7000,170.7129,56.0393
408,40.8000,147.2254,59.4596
409,40.9000,137.7370,77.9112
410,41.0000,142.3887,62.6604
411,41.1000,137.7854,67.6897
412,41.2000,146.5835,55.3075
413,41.3000,146.4590,62.7968
414,41.4000,159.4758,53.5544
415,41.5000,137.3568,71.0144
416,41.6000,121.8728,67.8023
417,41.7000,135.6663,72.8987
418,41.8000,145.2242,77.9560
419,41.9000,80.0222,141.6019
420,42.0000,165.6528,52.7951
421,42.1000,162.3683,53.0753
422,42.2000,161.3430,60.2336
423,42.3000,154.5604,68.5908
424,42.4000,122.6583,83.7590
425,42.5000,164.1624,59.7902
426,42.6000,160.8079,62.0480
427,42.7000,163.2540,65.2213
428,42.8000,140.1205,76.9712
429,42.9000,133.3653,55.8519
430,43.0000,132.0256,70.3605
431,43.1000,165.5727,62.5843
432,43.2000,167.5040,58.4039
433,43.3000,145.4886,79.8670
434,43.4000,161.0570,65.4717
435,43.5000,149.5202,70.1326
436,43.6000,149.4383,78.7620
437,43.7000,120.8512,92.2263
438,43.8000,167.2234,49.0124
439,43.9000,170.0484,64.1620
440,44.0000,151.7287,64.4552
441,44.1000,167.1138,58.1485
442,44.2000,158.4774,70.0713
443,44.3000,139.6005,76.7041
444,44.4000,145.9971,73.2858
445,44.5000,155.6362,56.1600
446,44.6000,163.8723,50.2989
447,44.7000,147.7660,65.5196
448,44.8000,176.8435,57.7348
449,44.9000,145.2089,75.0216
450,45.0000,149.3292,78.7308
451,45.1000,163.8499,67.1202
452,45.2000,153.9924,63.8755
453,45.3000,158.5305,67.3627
454,45.4000,157.4207,71.8483
455,45.5000,157.4465,66.3903
456,45.6000,146.3291,68.6113
457,45.7000,150.6022,66.3524
458,45.8000,153.4714,65.5519
459,45.9000,157.6777,66.6098
460,46.0000,157.3637,67.4360
461,46.1000,151.7313,47.5385
462,46.2000,142.9597,80.4558
463,46.3000,150.7092,62.8544
464,46.4000,136.6921,71.2807
465,46.5000,148.0746,81.7848
466,46.6000,147.9980,65.0012
467,46.7000,169.0167,59.2370
468,46.8000,149.5175,77.0604
469,46.9000,152.8521,69.6337
470,47.0000,160.4936,63.3428
471,47.1000,164.0140,67.6710
472,47.2000,142.6196,70.6079
473,47.3000,145.0624,67.2354
474,47.4000,131.2875,84.4369
475,47.5000,115.1928,85.5747
476,47.6000,152.7760,69.6212
477,47.7000,150.1286,63.1762
478,47.8000,169.6718,55.7334
479,47.9000,144.0790,61.2456
480,48.0000,126.8827,87.6604
481,48.1000,134.6667,80.1347
482,48.2000,160.0284,63.6498
483,48.3000,139.6515,70.6298
484,48.4000,145.8775,66.5723
485,48.5000,153.8746,62.9451
486,48.6000,175.9558,55.2643
487,48.7000,173.0851,57.1294
488,48.8000,159.7570,71.0581
489,48.9000,140.9686,68.6397
490,49.0000,161.3128,64.9389
491,49.1000,155.0915,59.1170
492,49.2000,155.0709,63.2258
493,49.3000,140.5559,72.7445
494,49.4000,144.3349,73.4229
495,49.5000,160.8604,59.9442
496,49.6000,158.8053,62.0413
497,49.7000,93.8621,89.6291
498,49.8000,161.2272,69.1934
499,49.9000,167.1922,58.6502
500,50.0000,168.8914,49.1785
501,50.1000,143.2877,62.7796
502,50.2000,77.9271,137.3579
503,50.3000,61.0290,153.1376
504,50.4000,67.8750,146.3189
505,50.5000,104.0047,106.3034
506,50.6000,154.4634,52.0024
507,50.7000,165.3978,57.1505
508,50.8000,161.2582,64.6666
509,50.9000,144.9599,60.5045
510,51.0000,156.9500,69.4046
511,51.1000,138.6618,79.4018
512,51.2000,158.2531,66.3812
513,51.3000,158.2662,67.9060
514,51.4000,150.2078,59.6377
515,51.5000,176.5869,55.8506
516,51.6000,142.3590,66.5684
517,51.7000,115.1326,95.8348
518,51.8000,158.7430,62.4847
519,51.9000,160.6440,77.2033
520,52.0000,118.4450,47.6162
521,52.1000,150.5841,65.8663
522,52.2000,170.0053,58.8595
523,52.3000,136.3729,82.5282
524,52.4000,143.2525,71.6760
525,52.5000,142.4973,65.2972
526,52.6000,147.1195,70.5968
527,52.7000,142.9988,69.3387
528,52.8000,132.7178,81.1767
529,52.9000,159.8688,68.9281
530,53.0000,145.8993,66.3031
531,53.1000,117.7847,81.2589
532,53.2000,163.2035,65.7877
533,53.3000,147.4223,76.6397
534,53.4000,142.3409,64.0950
535,53.5000,98.6852,103.9941
536,53.6000,80.1264,127.7882
537,53.7000,67.0527,150.7541
538,53.8000,102.1884,85.0464
539,53.9000,126.6378,83.0533
540,54.0000,134.7524,60.2640
541,54.1000,161.0747,67.0847
542,54.2000,166.6552,68.6222
543,54.3000,148.5533,64.5209
544,54.4000,145.7311,64.5312
545,54.5000,128.6093,82.4094
546,54.6000,155.3193,66.9143
547,54.7000,144.8309,70.6057
548,54.8000,155.8205,65.3574
549,54.9000,153.8655,65.1778
550,55.0000,141.7578,77.4510
551,55.1000,101.5004,116.6634
552,55.2000,147.0919,72.4422
553,55.3000,154.3227,67.7130
554,55.4000,137.0937,66.5763
555,55.5000,162.2470,68.2446
556,55.6000,156.5656,62.2278
557,55.7000,137.8656,72.8329
558,55.8000,138.9734,76.2710
559,55.9000,129.9210,85.3482
560,56.0000,145.3152,67.4011
561,56.1000,147.7735,76.7661
562,56.2000,151.3726,73.7640
563,56.3000,152.4960,70.7850
564,56.4000,137.6216,73.7575
565,56.5000,143.2792,68.8277
566,56.6000,143.2636,85.2969
567,56.7000,147.2088,80.6649
568,56.8000,136.5737,73.6841
569,56.9000,154.0763,68.8692
570,57.0000,154.4709,64.4152
571,57.1000,157.7631,55.0555
572,57.2000,159.8602,58.9378
573,57.3000,142.2199,67.7441
574,57.4000,133.0215,86.1320
575,57.5000,139.2204,82.7471
576,57.6000,161.5411,61.1722
577,57.7000,143.0507,72.2996
578,57.8000,162.0291,55.4601
579,57.9000,155.4670,67.0462
580,58.0000,160.3211,71.1042
581,58.1000,138.1299,76.2546
582,58.2000,177.8606,56.4264
583,58.3000,161.0478,62.8357
584,58.4000,132.4473,84.8467
585,58.5000,143.1684,75.2541
586,58.6000,133.9592,83.3223
587,58.7000,164.8426,61.0608
588,58.8000,171.0129,62.5404
589,58.9000,143.6951,76.0861
590,59.0000,167.4729,49.5785
591,59.1000,149.8614,70.8948
592,59.2000,156.5615,64.5237
593,59.3000,152.9561,62.2057
594,59.4000,135.7149,78.0415
595,59.5000,162.0312,64.3945
596,59.6000,146.0484,80.2851
597,59.7000,170.8229,53.0476
598,59.8000,144.6876,69.4750
599,59.9000,137.9813,84.7011
600,60.0000,161.2960,66.2951
601,60.1000,159.8004,61.4196
602,60.2000,135.8287,75.7386
603,60.3000,152.9945,80.3128
604,60.4000,153.8796,74.0331
605,60.5000,121.8806,87.3092
606,60.6000,144.1952,64.3539
607,60.7000,164.9634,59.1200
608,60.8000,167.1475,49.8559
609,60.9000,155.3188,70.5078
610,61.0000,165.6886,53.0331
611,61.1000,161.3667,69.1361
612,61.2000,155.4613,67.5844
613,61.3000,169.1540,55.2749
614,61.4000,151.9492,68.5441
615,61.5000,165.8634,61.0410
616,61.6000,153.2853,67.1825
617,61.7000,159.5642,73.9138
618,61.8000,164.7300,55.8336
