frame,time,cluster,rmsd_to_medoid
427,42.7000,2,0.2315
428,42.8000,2,0.2665
429,42.9000,2,0.1338
430,43.0000,2,0.1116
431,43.1000,2,0.1997
432,43.2000,2,0.2688
433,43.3000,2,0.1995
434,43.4000,2,0.1820
435,43.5000,2,0.1604
436,43.6000,2,0.1452
437,43.7000,2,0.1528
438,43.8000,2,0.3782
439,43.9000,2,0.3159
440,44.0000,2,0.2701
441,44.1000,2,0.1298
442,44.2000,2,0.1539
443,44.3000,2,0.2361
444,44.4000,2,0.1990
445,44.5000,2,0.1342
446,44.6000,2,0.1304
447,44.7000,2,0.2052
448,44.8000,2,0.1831
449,44.9000,2,0.1534
450,45.0000,2,0.1353
451,45.1000,2,0.1695
452,45.2000,2,0.1706
453,45.3000,2,0.1294
454,45.4000,2,0.2340
455,45.5000,2,0.1591
456,45.6000,2,0.1494
457,45.7000,2,0.2589
458,45.8000,2,0.1642
459,45.9000,2,0.1695
460,46.0000,2,0.0930
461,46.1000,2,0.1968
462,46.2000,2,0.1631
463,46.3000,2,0.1817
464,46.4000,2,0.1033
465,46.5000,2,0.2558
466,46.6000,2,0.2504
467,46.7000,2,0.1478
468,46.8000,2,0.2000
469,46.9000,2,0.1356
470,47.0000,2,0.1723
471,47.1000,2,0.1824
472,47.2000,2,0.1137
473,47.3000,2,0.1750
474,47.4000,1,0.2035
475,47.5000,2,0.3059
476,47.6000,2,0.2205
477,47.7000,2,0.2146
478,47.8000,2,0.2973
479,47.9000,2,0.2425
480,48.0000,2,0.2222
481,48.1000,2,0.1422
482,48.2000,2,0.1656
483,48.3000,2,0.1417
484,48.4000,2,0.1647
485,48.5000,2,0.1611
486,48.6000,2,0.1264
487,48.7000,2,0.1452
488,48.8000,2,0.2644
489,48.9000,2,0.1828
490,49.0000,1,0.2121
491,49.1000,2,0.1366
492,49.2000,2,0.1516
493,49.3000,2,0.1633
494,49.4000,2,0.1702
495,49.5000,2,0.1453
496,49.6000,2,0.2093
497,49.7000,2,0.2337
498,49.8000,2,0.1072
499,49.9000,2,0.1419
500,50.0000,2,0.2067
501,50.1000,2,0.1837
502,50.2000,2,0.1560
503,50.3000,2,0.1312
504,50.4000,2,0.2199
505,50.5000,2,0.1941
506,50.6000,2,0.2581
507,50.7000,1,0.2356
508,50.8000,2,0.2616
509,50.9000,2,0.2440
510,51.0000,2,0.3102
511,51.1000,2,0.2259
512,51.2000,2,0.2370
513,51.3000,1,0.2055
514,51.4000,2,0.2144
515,51.5000,2,0.2573
516,51.6000,2,0.1893
517,51.7000,2,0.1265
518,51.8000,2,0.1352
519,51.9000,2,0.3326
520,52.0000,1,0.2681
521,52.1000,2,0.1820
522,52.2000,2,0.2934
523,52.3000,2,0.1401
524,52.4000,2,0.2038
525,52.5000,2,0.2323
526,52.6000,2,0.2227
527,52.7000,2,0.2088
528,52.8000,2,0.1806
529,52.9000,2,0.1374
530,53.0000,2,0.2513
531,53.1000,2,0.1592
532,53.2000,2,0.0929
533,53.3000,2,0.1564
534,53.4000,2,0.1764
535,53.5000,2,0.1168
536,53.6000,2,0.1735
537,53.7000,2,0.2030
538,53.8000,2,0.1664
539,53.9000,2,0.1758
540,54.0000,2,0.2340
541,54.1000,2,0.2036
542,54.2000,2,0.2534
543,54.3000,2,0.1102
544,54.4000,2,0.1400
545,54.5000,2,0.1771
546,54.6000,2,0.2427
547,54.7000,2,0.2866
548,54.8000,2,0.1508
549,54.9000,2,0.1941
550,55.0000,2,0.2333
551,55.1000,2,0.3098
552,55.2000,2,0.1873
553,55.3000,2,0.2027
554,55.4000,2,0.2140
555,55.5000,1,0.1870
556,55.6000,2,0.1885
557,55.7000,2,0.2404
558,55.8000,2,0.0970
559,55.9000,2,0.1234
560,56.0000,2,0.3179
561,56.1000,1,0.2845
562,56.2000,1,0.2443
563,56.3000,2,0.2682
564,56.4000,2,0.2349
565,56.5000,2,0.1985
566,56.6000,2,0.2585
567,56.7000,2,0.1969
568,56.8000,1,0.1830
569,56.9000,2,0.2538
570,57.0000,1,0.2411
571,57.1000,1,0.1764
572,57.2000,2,0.2730
573,57.3000,1,0.1976
574,57.4000,2,0.2579
575,57.5000,2,0.2147
576,57.6000,2,0.1724
577,57.7000,2,0.1280
578,57.8000,1,0.2746
579,57.9000,1,0.2042
580,58.0000,1,0.1809
581,58.1000,1,0.1326
582,58.2000,1,0.2858
583,58.3000,1,0.1770
584,58.4000,1,0.2188
585,58.5000,1,0.3711
586,58.6000,1,0.3013
587,58.7000,1,0.2073
588,58.8000,1,0.1535
589,58.9000,2,0.2333
590,59.0000,1,0.2373
591,59.1000,2,0.2606
592,59.2000,1,0.2764
593,59.3000,1,0.3478
594,59.4000,1,0.2420
595,59.5000,1,0.1478
596,59.6000,1,0.2342
597,59.7000,1,0.2316
598,59.8000,1,0.2818
599,59.9000,1,0.1637
600,60.0000,1,0.1473
601,60.1000,1,0.2000
602,60.2000,1,0.1830
603,60.3000,1,0.2644
604,60.4000,1,0.3081
605,60.5000,1,0.1362
606,60.6000,1,0.2032
607,60.7000,1,0.1808
608,60.8000,2,0.1719
609,60.9000,2,0.3843
610,61.0000,1,0.2268
611,61.1000,2,0.2323
612,61.2000,1,0.3155
613,61.3000,2,0.4025
614,61.4000,1,0.4959
615,61.5000,1,0.2763
616,61.6000,1,0.1947
617,61.7000,2,0.2712
618,61.8000,1,0.2509
619,61.9000,1,0.2688
620,62.0000,2,0.2455
621,62.1000,3,0.0000
622,62.2000,2,0.2132
623,62.3000,2,0.3083
624,62.4000,1,0.2121
625,62.5000,1,0.1257
626,62.6000,1,0.1907
627,62.7000,1,0.1263
628,62.8000,1,0.2092
629,62.9000,1,0.1941
630,63.0000,1,0.1679
631,63.1000,2,0.1520
632,63.2000,2,0.2693
633,63.3000,1,0.3366
634,63.4000,1,0.4286
635,63.5000,1,0.3872
636,63.6000,1,0.2225
637,63.7000,1,0.1583
638,63.8000,1,0.2179
639,63.9000,1,0.1999
640,64.0000,1,0.2106
641,64.1000,1,0.1857
642,64.2000,1,0.1586
643,64.3000,1,0.1096
644,64.4000,1,0.1948
645,64.5000,2,0.2621
646,64.6000,1,0.2064
647,64.7000,1,0.1085
648,64.8000,1,0.1886
649,64.9000,1,0.2574
650,65.0000,1,0.1436
651,65.1000,1,0.1645
652,65.2000,1,0.2431
653,65.3000,1,0.1438
654,65.4000,1,0.3191
655,65.5000,1,0.3935
656,65.6000,1,0.1660
657,65.7000,1,0.1812
658,65.8000,1,0.2811
659,65.9000,2,0.2880
660,66.0000,2,0.2920
661,66.1000,2,0.3289
662,66.2000,1,0.1686
663,66.3000,1,0.2102
664,66.4000,1,0.2368
665,66.5000,1,0.2359
666,66.6000,1,0.1894
667,66.7000,1,0.2264
668,66.8000,1,0.1739
669,66.9000,1,0.1944
670,67.0000,2,0.2050
671,67.1000,2,0.2076
672,67.2000,2,0.1691
673,67.3000,2,0.2742
674,67.4000,1,0.1810
675,67.5000,1,0.3190
676,67.6000,1,0.2414
677,67.7000,2,0.2734
678,67.8000,1,0.2796
679,67.9000,1,0.2637
680,68.0000,1,0.2095
681,68.1000,1,0.3455
682,68.2000,2,0.2948
683,68.3000,1,0.1678
684,68.4000,1,0.1709
685,68.5000,1,0.1561
686,68.6000,1,0.1388
687,68.7000,1,0.1728
688,68.8000,1,0.1589
689,68.9000,1,0.2560
690,69.0000,2,0.3028
691,69.1000,1,0.2520
692,69.2000,1,0.3712
693,69.3000,1,0.4097
694,69.4000,1,0.2586
695,69.5000,2,0.2470
696,69.6000,1,0.2047
697,69.7000,1,0.1993
698,69.8000,1,0.2403
699,69.9000,1,0.1807
700,70.0000,1,0.2237
701,70.1000,1,0.1552
702,70.2000,1,0.2460
703,70.3000,1,0.2092
704,70.4000,2,0.2950
705,70.5000,1,0.2125
706,70.6000,1,0.2958
707,70.7000,1,0.2339
708,70.8000,1,0.1707
709,70.9000,1,0.2083
710,71.0000,1,0.1228
711,71.1000,1,0.1857
712,71.2000,1,0.1928
713,71.3000,1,0.1462
714,71.4000,1,0.1325
715,71.5000,1,0.1541
716,71.6000,1,0.1300
717,71.7000,1,0.1532
718,71.8000,1,0.1369
719,71.9000,1,0.2175
720,72.0000,1,0.2199
721,72.1000,1,0.2651
722,72.2000,1,0.2803
723,72.3000,1,0.2657
724,72.4000,1,0.2376
725,72.5000,1,0.1539
726,72.6000,1,0.1224
727,72.7000,1,0.1749
728,72.8000,1,0.3238
729,72.9000,1,0.3775
730,73.0000,1,0.2223
731,73.1000,1,0.1185
732,73.2000,1,0.3224
733,73.3000,1,0.2675
734,73.4000,1,0.1952
735,73.5000,1,0.2373
736,73.6000,1,0.1622
737,73.7000,1,0.2146
738,73.8000,1,0.2759
739,73.9000,1,0.2310
740,74.0000,1,0.1171
741,74.1000,1,0.1795
742,74.2000,1,0.2437
743,74.3000,1,0.1761
744,74.4000,1,0.1117
745,74.5000,1,0.2036
746,74.6000,2,0.2955
747,74.7000,2,0.3016
748,74.8000,1,0.2267
749,74.9000,1,0.2064
750,75.0000,2,0.2603
751,75.1000,1,0.2012
752,75.2000,1,0.2234
753,75.3000,1,0.1296
754,75.4000,1,0.1384
755,75.5000,1,0.1963
756,75.6000,2,0.2983
757,75.7000,2,0.2797
758,75.8000,2,0.3204
759,75.9000,2,0.3340
760,76.0000,1,0.1484
761,76.1000,1,0.1883
762,76.2000,1,0.1166
763,76.3000,1,0.2092
764,76.4000,1,0.1964
765,76.5000,1,0.1244
766,76.6000,2,0.0855
767,76.7000,2,0.1196
768,76.8000,2,0.2183
769,76.9000,1,0.1851
770,77.0000,1,0.1620
771,77.1000,2,0.1984
772,77.2000,1,0.2066
773,77.3000,1,0.1878
774,77.4000,1,0.1920
775,77.5000,1,0.2026
776,77.6000,1,0.1454
777,77.7000,1,0.1415
778,77.8000,1,0.1190
779,77.9000,1,0.2099
780,78.0000,1,0.2014
781,78.1000,1,0.3243
782,78.2000,1,0.2456
783,78.3000,1,0.2163
