d_saltbridge,d_OD1_water,density,free_energy
4.5998,2.7951,1.5715,0.9422
4.7229,2.7951,1.5715,0.9422
4.8459,2.7951,1.3470,1.0341
4.9690,2.7951,0.2245,2.1023
5.0920,2.7951,0.0000,
5.2151,2.7951,0.0000,
5.3382,2.7951,0.0000,
5.4612,2.7951,0.0000,
5.5843,2.7951,0.0000,
5.7073,2.7951,0.0000,
3.1231,2.8313,0.0000,
3.2462,2.8313,0.2245,2.1023
3.3692,2.8313,0.0000,
3.4923,2.8313,0.0000,
3.6153,2.8313,0.0000,
3.7384,2.8313,0.2245,2.1023
3.8614,2.8313,0.2245,2.1023
3.9845,2.8313,0.4490,1.6891
4.1076,2.8313,0.6735,1.4473
4.2306,2.8313,0.8980,1.2758
4.3537,2.8313,0.8980,1.2758
4.4767,2.8313,0.4490,1.6891
4.5998,2.8313,0.8980,1.2758
4.7229,2.8313,0.6735,1.4473
4.8459,2.8313,0.2245,2.1023
4.9690,2.8313,0.2245,2.1023
5.0920,2.8313,0.0000,
5.2151,2.8313,0.0000,
5.3382,2.8313,0.0000,
5.4612,2.8313,0.0000,
5.5843,2.8313,0.0000,
5.7073,2.8313,0.0000,
3.1231,2.8675,0.0000,
3.2462,2.8675,0.0000,
3.3692,2.8675,0.2245,2.1023
3.4923,2.8675,0.0000,
3.6153,2.8675,0.0000,
3.7384,2.8675,0.0000,
3.8614,2.8675,0.0000,
3.9845,2.8675,0.2245,2.1023
4.1076,2.8675,0.2245,2.1023
4.2306,2.8675,0.4490,1.6891
4.3537,2.8675,0.4490,1.6891
4.4767,2.8675,0.2245,2.1023
4.5998,2.8675,0.2245,2.1023
4.7229,2.8675,0.2245,2.1023
4.8459,2.8675,0.2245,2.1023
4.9690,2.8675,0.0000,
5.0920,2.8675,0.0000,
5.2151,2.8675,0.0000,
5.3382,2.8675,0.0000,
5.4612,2.8675,0.0000,
5.5843,2.8675,0.0000,
5.7073,2.8675,0.0000,
3.1231,2.9037,0.0000,
3.2462,2.9037,0.0000,
3.3692,2.9037,0.0000,
3.4923,2.9037,0.0000,
3.6153,2.9037,0.0000,
3.7384,2.9037,0.0000,
3.8614,2.9037,0.0000,
3.9845,2.9037,0.2245,2.1023
4.1076,2.9037,0.2245,2.1023
4.2306,2.9037,0.0000,
4.3537,2.9037,0.2245,2.1023
4.4767,2.9037,0.0000,
4.5998,2.9037,0.0000,
