d_D20OD1_R414HH12,d_D20OD2_R414HH22,density,free_energy
3.0968,2.8827,1.7512,0.8265
3.1399,2.8827,0.0000,
3.1830,2.8827,0.0000,
3.2260,2.8827,0.0000,
3.2691,2.8827,0.0000,
3.3122,2.8827,0.5837,1.4814
3.3552,2.8827,0.0000,
3.3983,2.8827,0.0000,
3.4414,2.8827,0.0000,
3.4844,2.8827,0.0000,
3.5275,2.8827,0.0000,
3.5706,2.8827,0.0000,
1.9771,2.9225,0.0000,
2.0202,2.9225,0.0000,
2.0633,2.9225,0.0000,
2.1063,2.9225,0.0000,
2.1494,2.9225,0.0000,
2.1925,2.9225,0.0000,
2.2355,2.9225,0.5837,1.4814
2.2786,2.9225,0.0000,
2.3217,2.9225,0.0000,
2.3647,2.9225,0.0000,
2.4078,2.9225,0.0000,
2.4509,2.9225,0.0000,
2.4939,2.9225,0.0000,
2.5370,2.9225,0.5837,1.4814
2.5801,2.9225,1.1674,1.0682
2.6231,2.9225,0.5837,1.4814
2.6662,2.9225,2.3349,0.6550
2.7093,2.9225,2.3349,0.6550
2.7523,2.9225,5.8372,0.1087
2.7954,2.9225,5.8372,0.1087
2.8385,2.9225,4.6698,0.2417
2.8815,2.9225,2.9186,0.5219
2.9246,2.9225,4.0861,0.3213
2.9677,2.9225,2.3349,0.6550
3.0107,2.9225,2.9186,0.5219
3.0538,2.9225,1.1674,1.0682
3.0968,2.9225,1.7512,0.8265
3.1399,2.9225,1.1674,1.0682
3.1830,2.9225,1.1674,1.0682
3.2260,2.9225,0.5837,1.4814
3.2691,2.9225,0.5837,1.4814
3.3122,2.9225,0.0000,
3.3552,2.9225,0.0000,
3.3983,2.9225,0.0000,
3.4414,2.9225,0.0000,
3.4844,2.9225,0.0000,
3.5275,2.9225,0.0000,
3.5706,2.9225,0.0000,
1.9771,2.9623,0.0000,
2.0202,2.9623,0.0000,
2.0633,2.9623,0.0000,
2.1063,2.9623,0.0000,
2.1494,2.9623,0.0000,
2.1925,2.9623,0.0000,
2.2355,2.9623,0.0000,
2.2786,2.9623,0.0000,
2.3217,2.9623,0.0000,
2.3647,2.9623,0.0000,
2.4078,2.9623,0.0000,
2.4509,2.9623,0.0000,
2.4939,2.9623,0.0000,
2.5370,2.9623,0.0000,
2.5801,2.9623,1.1674,1.0682
2.6231,2.9623,0.5837,1.4814
2.6662,2.9623,1.1674,1.0682
2.7093,2.9623,5.2535,0.1715
2.7523,2.9623,2.3349,0.6550
2.7954,2.9623,3.5023,0.4132
2.8385,2.9623,2.3349,0.6550
2.8815,2.9623,2.9186,0.5219
2.9246,2.9623,4.0861,0.3213
2.9677,2.9623,6.4209,0.0519
3.0107,2.9623,1.1674,1.0682
3.0538,2.9623,1.1674,1.0682
3.0968,2.9623,1.7512,0.8265
3.1399,2.9623,0.5837,1.4814
3.1830,2.9623,0.5837,1.4814
3.2260,2.9623,0.0000,
3.2691,2.9623,0.0000,
3.3122,2.9623,0.0000,
3.3552,2.9623,0.0000,
3.3983,2.9623,0.0000,
3.4414,2.9623,0.0000,
3.4844,2.9623,0.0000,
3.5275,2.9623,0.0000,
3.5706,2.9623,0.0000,
1.9771,3.0020,0.0000,
2.0202,3.0020,0.0000,
2.0633,3.0020,0.0000,
2.1063,3.0020,0.0000,
2.1494,3.0020,0.0000,
2.1925,3.0020,0.0000,
2.2355,3.0020,0.0000,
2.2786,3.0020,0.0000,
2.3217,3.0020,0.0000,
2.3647,3.0020,0.0000,
2.4078,3.0020,0.5837,1.4814
2.4509,3.0020,0.0000,
2.4939,3.0020,0.0000,
2.5370,3.0020,0.0000,
2.5801,3.0020,4.0861,0.3213
2.6231,3.0020,1.7512,0.8265
2.6662,3.0020,4.0861,0.3213
2.7093,3.0020,1.7512,0.8265
2.7523,3.0020,3.5023,0.4132
2.7954,3.0020,5.2535,0.1715
2.8385,3.0020,6.4209,0.0519
